model,landmodel,landmodel_clean,type,reference
ACCESS-ESM1-5,CABLE2.4,CABLE2.4,CNP,"CASA-CNP, https://research.csiro.au/dfp/wp-content/uploads/sites/148/2018/05/cable_in_access.pdf"
AWI-ESM-1-1-LR,JSBACH 3.20 with dynamic vegetation,JSBACH 3.20,CN,"Reick, C. H., Gayler, V., Goll, D., Hagemann, S., Heidkamp, M., Nabel, J. E. M. S., et al. (2021). JSBACH 3 - The land component of the MPI Earth System Model: documentation of version 3.2. Hamburg: MPI für Meteorologie. doi:10.17617/2.3279802."
BCC-CSM2-MR,BCC_AVIM2,BCC_AVIM2,C,"Arora et al., 2020 BG"
BCC-ESM1,BCC_AVIM2,BCC_AVIM2,C,"Arora et al., 2020 BG"
CAMS-CSM1-0,CoLM 1.0,CoLM 1.0,CN,"Zhou, T. J., Z. M. Chen, L. W. Zou, et al., 2020: Development of Climate and Earth System Models in China: Past achievements and new CMIP6 results. J. Meteor. Res., 34(1), 1–19, doi: 10.1007/s13351-020- 9164-0. "
CanESM5-CanOE,CLASS3.6/CTEM1.2,CLASS3.6/CTEM1.2,C,
CanESM5,CLASS3.6/CTEM1.2,CLASS3.6/CTEM1.2,C,
CAS-ESM2-0,CoLM,CoLM,CN,
CESM2,CLM5 (same grid as atmos),CLM5,CN,
CESM2-WACCM,CLM5 (same grid as atmos),CLM5,CN,
CIESM,CIESM-LM (modified CLM4.5),CIESM-LM (CLM4.5),CN,
CMCC-CM2-HR4,CLM4.5 (SP mode),CLM4.5,CN,https://www.cesm.ucar.edu/models/cesm1.2/clm/CLM45_Tech_Note.pdf
CMCC-CM2-SR5,CLM4.5 (BGC mode),CLM4.5,CN,https://www.cesm.ucar.edu/models/cesm1.2/clm/CLM45_Tech_Note.pdf
CMCC-ESM2,CLM4.5 (BGC mode),CLM4.5,CN,https://www.cesm.ucar.edu/models/cesm1.2/clm/CLM45_Tech_Note.pdf
CNRM-CM6-1,Surfex 8.0c,Surfex 8.0c,,
CNRM-CM6-1-HR,Surfex 8.0c,Surfex 8.0c,,
CNRM-ESM2-1,Surfex 8.0c,Surfex 8.0c,,
E3SM-1-0,"ELM (v1.0, cubed sphere spectral-element grid; 5400 elements with p=3; 1 deg average grid spacing; 90 x 90 x 6 longitude/latitude/cubeface; satellite phenology mode), MOSART (v1.0, 0.5 degree latitude/longitude grid)",ELM,CNP,
