modl,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
CABLE,CABLE-POP_S2_cRoot.nc,CABLE-POP_S2_cLeaf.nc,,,,,,CABLE-POP_S2_cVeg.nc,CABLE-POP_S2_cWood.nc
CLASS-CTEM,,,,,,,,CLASS-CTEM_S2_annual_cVeg.nc,
CLM,CLM5.0_S2_cRoot.nc,CLM5.0_S2_cLeaf.nc,,,,,,CLM5.0_S2_cVeg.nc,CLM5.0_S2_cWood.nc
DLEM,,,,,,,,DLEM_S2_cVeg.nc,
ISAM,ISAM_S2_cRoot.nc,ISAM_S2_cLeaf.nc,,,,,,ISAM_S2_cVeg.nc,ISAM_S2_cWood.nc
JSBACH,,,,,,,,JSBACH_S2_cVeg.nc,
JULES,,,,,,,,,
LPJ,,,,,,,,,
LPJ-GUESS,LPJ-GUESS_S2_cRoot.nc,LPJ-GUESS_S2_cLeaf.nc,,,,,,LPJ-GUESS_S2_cVeg.nc,LPJ-GUESS_S2_cWood.nc
OCN,,,,,,,,,
LPX-Bern,,,,,,,,LPX_S2_cVeg.nc,
ORCHIDEE-CNP,ORCHIDEE-CNP_S2_cRoot.nc,ORCHIDEE-CNP_S2_cLeaf.nc,,,,,,ORCHIDEE-CNP_S2_cVeg.nc,ORCHIDEE-CNP_S2_cWood.nc
ORCHIDEE,ORCHIDEE_S2_cRoot.nc,ORCHIDEE_S2_cLeaf.nc,,,,,,ORCHIDEE_S2_cVeg.nc,ORCHIDEE_S2_cWood.nc
SDGVM,SDGVM_S2_cRoot.nc,SDGVM_S2_cLeaf.nc,,,,,,SDGVM_S2_cVeg.nc,
SURFEX,,,,,,,,,
VEGAS,,,,,,,,,
VISIT,,,,,,,,,
