modl,cLeaf,cRoot,cVeg,cWood,npp,fNloss,fNup,fBNF,fNdep
CABLE-POP,CABLE-POP_S2_cLeaf.nc,CABLE-POP_S2_cRoot.nc,CABLE-POP_S2_cVeg.nc,CABLE-POP_S2_cWood.nc,,,,,
CLASS-CTEM,CLASS-CTEM_S2_cLeaf.nc,CLASS-CTEM_S2_cRoot.nc,CLASS-CTEM_S2_cVeg.nc,CLASS-CTEM_S2_cWood.nc,,,,,
CLM5.0,,,,,,,,,
CLM5.0_Corrected,CLM5.0_S2_cLeaf.nc,CLM5.0_S2_cRoot.nc,CLM5.0_S2_cVeg.nc,CLM5.0_S2_cWood.nc,,,,,
DLEM,,,,,,,,,
ISAM,ISAM_S2_cLeaf.nc,ISAM_S2_cRoot.nc,ISAM_S2_cVeg.nc,ISAM_S2_cWood.nc,,,,,
ISBA-CTRIP-UPDATE,,,,,,,,,
JSBACH,,,,,,,,,
JULES-ES-1.0,,,,,,,,,
LPJ-GUESS,LPJ-GUESS_S2_cLeaf.nc,LPJ-GUESS_S2_cRoot.nc,LPJ-GUESS_S2_cVeg.nc,LPJ-GUESS_S2_cWood.nc,,,,,
LPJ-wsl,,,,,,,,,
LPX-Bern,LPX-Bern_S2_cLeaf.nc,LPX-Bern_S2_croot.nc,LPX-Bern_S2_cVeg.nc,LPX-Bern_S2_cWood.nc,,,,,
OCN,,,,,,,,,
ORCHIDEE,ORCHIDEE_S2_cLeaf.nc,ORCHIDEE_S2_cRoot.nc,ORCHIDEE_S2_cVeg.nc,ORCHIDEE_S2_cWood.nc,,,,,
ORCHIDEE-CNP,ORCHIDEE-CNP_S2_cLeaf.nc,ORCHIDEE-CNP_S2_cRoot.nc,ORCHIDEE-CNP_S2_cVeg.nc,ORCHIDEE-CNP_S2_cWood.nc,,,,,
SDGVM,,,,,,,,,
VISIT,,,,,,,,,
