modl,cRoot,cLeaf,npp,fNloss,fNup,fBNF,fNdep,cVeg,cWood
CABLE,CABLE-POP_S1_cRoot.nc,CABLE-POP_S1_cLeaf.nc,CABLE-POP_S1_npp.nc,,,,,CABLE-POP_S1_cVeg.nc,
CLASS-CTEM,CLASS-CTEM_S1_cRoot.nc,CLASS-CTEM_S1_cLeaf.nc,CLASS-CTEM_S1_npp.nc,,,,,CLASS-CTEM_S1_cVeg.nc,CLASS-CTEM_S1_cWood.nc
CLM,CLM4.5_S1_cRoot.nc,CLM4.5_S1_cLeaf.nc,CLM4.5_S1_npp.nc,CLM4.5_S1_fNloss.nc,CLM4.5_S1_fNup.nc,CLM4.5_S1_fBNF.nc,CLM4.5_S1_fNdep.nc,CLM4.5_S1_cVeg.nc,CLM4.5_S1_cWood.nc
DLEM,,,,,,,,DLEM_S1_cVeg.nc,
ISAM,ISAM_S1_cRoot.nc,ISAM_S1_cLeaf.nc,,ISAM_S1_fNloss.nc,ISAM_S1_fNup.nc,ISAM_S1_fBNF.nc,ISAM_S1_fNdep.nc,ISAM_S1_cVeg.nc,
JSBACH,,,,,,,,JSBACH_S1_cVeg.nc,
JULES,,,,,,,,CRU-NCEP_1p1.update.vn4.6.S1.Annual.cVeg.nc,
LPJ,,,,,,,,,
LPJ-GUESS,LPJ-GUESS_S1_cRoot.nc,LPJ-GUESS_S1_cLeaf.nc,,LPJ-GUESS_S1_fNloss.nc,LPJ-GUESS_S1_fNuppft.nc,LPJ-GUESS_S1_fBNF.nc,LPJ-GUESS_S1_fNdep.nc,LPJ-GUESS_S1_cVeg.nc,LPJ-GUESS_S1_cWood.nc
OCN,,,,,,,,,
LPX-Bern,LPX_S1_cRoot,LPX_S1_cLeaf,LPX_S1_npp.nc,LPX_S1_fNloss.nc,LPX_S1_fNup.nc,LPX_S1_fBNF.nc,LPX_S1_fNdep.nc,LPX_S1_cVeg.nc,LPX_S1_cWood.nc
ORCHIDEE,,,,,,,,,
ORCHIDEE-MICT,,,,,,,,,
SDGVM,SDGVM_S1_cRoot.nc,SDGVM_S1_cLeaf.nc,SDGVM_S1_npp.nc,,,,,SDGVM_S1_cVeg.nc,
SURFEX,,,,,,,,,
VEGAS,,,,,,,,VEGAS_S1_cVeg.nc,
VISIT,,,,,,,,VISIT_S1_cVeg.nc,
